epoch,train_loss,val_loss
1,0.077656,0.054001
2,0.053113,0.043691
3,0.036418,0.030626
4,0.030136,0.025376
5,0.032696,0.024856
6,0.026074,0.023174
7,0.024647,0.021487
8,0.023013,0.019650
9,0.020551,0.019668
10,0.019426,0.018099
11,0.018398,0.016715
12,0.017688,0.016851
13,0.016963,0.018448
14,0.016154,0.015084
15,0.015376,0.015091
16,0.014993,0.014762
17,0.014669,0.014001
18,0.014472,0.014606
19,0.013883,0.013530
20,0.013435,0.013886
21,0.013585,0.013865
22,0.013239,0.013623
23,0.013247,0.013255
24,0.012805,0.013102
25,0.012475,0.013072
26,0.012127,0.012738
27,0.012043,0.012822
28,0.011775,0.012788
29,0.011483,0.013036
30,0.011314,0.012586
31,0.011120,0.012708
32,0.011019,0.012576
33,0.010855,0.012522
34,0.010625,0.012455
35,0.010517,0.012459
36,0.010452,0.012555
37,0.010282,0.012346
